time,value
2025-09-16T09:04:05.557163094Z,"{""lat"":-37.64619660071765,""lon"":144.90692199708914}"
2025-09-16T09:04:06.548679558Z,"{""lat"":-37.64619660071765,""lon"":144.90692199708914}"
2025-09-16T09:04:07.553702809Z,"{""lat"":-37.64619660071765,""lon"":144.90692199708914}"
2025-09-16T09:04:08.550737093Z,"{""lat"":-37.64619660071765,""lon"":144.90692199708914}"
2025-09-16T09:04:09.559536863Z,"{""lat"":-37.64620892433705,""lon"":144.90691813138238}"
2025-09-16T09:04:10.557552814Z,"{""lat"":-37.646208834814715,""lon"":144.9069185798594}"
2025-09-16T09:04:11.557441031Z,"{""lat"":-37.646208169696415,""lon"":144.9069190287167}"
2025-09-16T09:04:12.556697901Z,"{""lat"":-37.64620976927014,""lon"":144.90691178800222}"
2025-09-16T09:04:13.555469687Z,"{""lat"":-37.64621851477759,""lon"":144.90691480491589}"
2025-09-16T09:04:14.55758604Z,"{""lat"":-37.64621730838345,""lon"":144.9069186846945}"
2025-09-16T09:04:15.558835895Z,"{""lat"":-37.6462164833107,""lon"":144.9069136824493}"
2025-09-16T09:04:16.557599542Z,"{""lat"":-37.64621486449914,""lon"":144.90690871547417}"
2025-09-16T09:04:17.558494401Z,"{""lat"":-37.64621687760084,""lon"":144.90690254463726}"
2025-09-16T09:04:18.557793839Z,"{""lat"":-37.64621621759154,""lon"":144.9069038654244}"
2025-09-16T09:04:19.558597869Z,"{""lat"":-37.64621370426496,""lon"":144.9069010746321}"
2025-09-16T09:04:20.560641837Z,"{""lat"":-37.64621363853649,""lon"":144.90690034712026}"
2025-09-16T09:04:21.561664029Z,"{""lat"":-37.646212490934126,""lon"":144.90688656207243}"
2025-09-16T09:04:22.564481665Z,"{""lat"":-37.646206793444314,""lon"":144.90689145844675}"
2025-09-16T09:04:23.569672803Z,"{""lat"":-37.646186694840694,""lon"":144.90688559451652}"
2025-09-16T09:04:24.56264059Z,"{""lat"":-37.64617942474662,""lon"":144.90690349246896}"
2025-09-16T09:04:25.566225479Z,"{""lat"":-37.64617730397173,""lon"":144.90690155775678}"
2025-09-16T09:04:26.563792045Z,"{""lat"":-37.64618238868972,""lon"":144.90690074744074}"
2025-09-16T09:04:27.574649299Z,"{""lat"":-37.646179400595685,""lon"":144.9069067182046}"
2025-09-16T09:04:28.568473729Z,"{""lat"":-37.64617996027463,""lon"":144.9069090067794}"
2025-09-16T09:04:29.570656242Z,"{""lat"":-37.64617958559791,""lon"":144.90690963714096}"
2025-09-16T09:04:30.570636937Z,"{""lat"":-37.64618074392848,""lon"":144.90691039246528}"
2025-09-16T09:04:31.571752464Z,"{""lat"":-37.64618040030301,""lon"":144.90690940771887}"
2025-09-16T09:04:32.572653297Z,"{""lat"":-37.64617922474839,""lon"":144.906912378243}"
2025-09-16T09:04:33.57380329Z,"{""lat"":-37.64618295303261,""lon"":144.90691036389805}"
2025-09-16T09:04:34.574484851Z,"{""lat"":-37.64618772931909,""lon"":144.90690810618142}"
2025-09-16T09:04:35.573462491Z,"{""lat"":-37.64619262279087,""lon"":144.9069099338715}"
2025-09-16T09:04:36.569748986Z,"{""lat"":-37.646195653029416,""lon"":144.9069126142996}"
2025-09-16T09:04:37.740572601Z,"{""lat"":-37.646196147497996,""lon"":144.90691604611314}"
2025-09-16T09:04:38.578716389Z,"{""lat"":-37.64619658821129,""lon"":144.90691293159483}"
2025-09-16T09:04:39.57665132Z,"{""lat"":-37.64619720215696,""lon"":144.90691085592732}"
2025-09-16T09:04:40.580701309Z,"{""lat"":-37.64619699858193,""lon"":144.9069058724803}"
2025-09-16T09:04:41.582842155Z,"{""lat"":-37.64619487298903,""lon"":144.90691331603955}"
2025-09-16T09:04:42.576835816Z,"{""lat"":-37.646191672562026,""lon"":144.90691313309267}"
2025-09-16T09:04:43.57456551Z,"{""lat"":-37.64619174050265,""lon"":144.90691306922466}"
